ID,Pop,Area,GDP,Density,Prov,City,Name,J25,J26,J27,J28,J29,J30,J31,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,memo1,memo2,
40,829,11613,6006,14.00844391,浙江,温州,温州市市辖区,10,18,32,60,114,172,227,241,265,291,340,364,396,421,438,448,464,16,,
41,981,16854,13509,17.18042813,浙江,杭州,杭州市市辖区,10,27,27,32,51,69,85,98,110,118,132,141,151,156,162,165,155,-10,新增两列,数值却是155
43,820,9816,10746,11.97073171,浙江,宁波,宁波市市辖区,6,13,13,17,20,41,46,55,66,75,102,120,126,136,141,146,149,3,,
161,554.55,7402,5274.67,13.34775944,江西,南昌,南昌市市辖区,3,4,8,17,25,46,67,83,89,103,121,134,149,162,168,179,189,10,新增11例,数值却是189
161,554.55,7402,5274.67,13.34775944,江西,南昌,南昌县,3,4,8,17,25,46,67,83,89,103,121,134,149,162,168,179,189,10,,
52,815,11819,11003,14.50184049,湖南,长沙,长沙市市辖区,8,18,22,24,46,57,68,86,112,125,148,164,179,190,196,205,213,8,,
52,815,11819,11003,14.50184049,湖南,长沙,长沙县,8,18,22,24,46,57,68,86,112,125,148,164,179,190,196,205,213,8,,
1,1108,8565,14847,7.730144404,湖北,武汉,武汉市,572,618,698,1590,1905,2261,2639,3215,4109,5142,6384,8351,10117,11618,13603,14982,16902,1920,,
3,530,8910,1742,16.81132075,湖北,孝感,孝感市市辖区,26,55,100,173,274,399,541,628,749,918,1120,1462,1886,2141,2313,2436,2541,105,,
2,750,17453,2035,23.27066667,湖北,黄冈,黄冈市市辖区,64,122,154,213,324,496,573,726,1002,1246,1422,1645,1807,1897,2041,2141,2252,111,,
6,222,9636,1011,43.40540541,湖北,随州,随州市市辖区,5,36,52,70,116,143,228,304,338,458,641,706,834,915,953,984,1049,65,,
8,641,14104,2082,22.00312012,湖北,荆州,荆州市市辖区,10,33,47,71,101,151,221,287,333,499,613,713,801,885,941,997,1045,48,,
5,605,19774,4310,32.68429752,湖北,襄阳,襄樊市市辖区,0,8,36,70,131,163,286,347,441,548,632,735,787,838,907,988,1019,31,,
10,269,4583,1590,17.03717472,湖北,黄石,黄石市市辖区,0,31,36,53,86,113,168,209,252,334,405,509,566,635,703,760,805,45,,
12,417,21227,4064,50.90407674,湖北,宜昌,宜昌市市辖区,1,31,31,51,63,117,167,276,353,392,452,496,563,610,633,711,749,38,,
11,108,1594,1005,14.75925926,湖北,鄂州,鄂州市,1,1,20,57,84,123,189,227,278,306,332,384,423,471,569,639,725,86,,
